seccion	gls_seccion	division	gls_division	clase	gls_clase
A	Agricultura, ganadería, silvicultura y pesca	03	PESCA Y ACUICULTURA.	0312	Pesca de agua dulce
A	Agricultura, ganadería, silvicultura y pesca	03	PESCA Y ACUICULTURA.	0321	Acuicultura marina
A	Agricultura, ganadería, silvicultura y pesca	03	PESCA Y ACUICULTURA.	0322	Acuicultura de agua dulce
B	Explotación de minas y canteras	04	#N/D	0400	Extracción y procesamiento de cobre
B	Explotación de minas y canteras	05	EXTRACCIÓN DE CARBÓN DE PIEDRA Y LIGNITO.	0510	Extracción de carbón de piedra
B	Explotación de minas y canteras	05	EXTRACCIÓN DE CARBÓN DE PIEDRA Y LIGNITO.	0520	Extracción de lignito
B	Explotación de minas y canteras	06	EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL.	0610	Extracción de petróleo crudo
B	Explotación de minas y canteras	06	EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL.	0620	Extracción de gas natural
B	Explotación de minas y canteras	07	EXTRACCIÓN DE MINERALES METALÍFEROS.	0710	Extracción de minerales de hierro
B	Explotación de minas y canteras	07	EXTRACCIÓN DE MINERALES METALÍFEROS.	0721	Extracción de minerales de uranio y torio
B	Explotación de minas y canteras	07	EXTRACCIÓN DE MINERALES METALÍFEROS.	0729	Extracción de otros minerales metalíferos no ferrosos, excepto cobre
B	Explotación de minas y canteras	08	EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS.	0810	Extracción de piedra, arena y arcilla
B	Explotación de minas y canteras	08	EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS.	0891	Extracción de minerales para la fabricación de abonos y productos químicos
B	Explotación de minas y canteras	08	EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS.	0892	Extracción de turba
B	Explotación de minas y canteras	08	EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS.	0893	Extracción de sal
B	Explotación de minas y canteras	08	EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS.	0899	Explotación de otras minas y canteras n.c.p.
B	Explotación de minas y canteras	09	ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS.	0910	Actividades de apoyo para la extracción de petróleo y gas natural
B	Explotación de minas y canteras	09	ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS.	0990	Actividades de apoyo para la explotación de otras minas y canteras
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1010	Elaboración y conservación de carne
