Seccion	Gls_Seccion	Grupo	Gls_Grupo	Clase	Gls_Clase
C	Industrias manufactureras	103	Elaboración y conservación de frutas, legumbres y hortalizas	1030	Elaboración y conservación de frutas, legumbres y hortalizas
C	Industrias manufactureras	104	Elaboración de aceites y grasas de origen vegetal y animal	1040	Elaboración de aceites y grasas de origen vegetal y animal
C	Industrias manufactureras	105	Elaboración de productos lácteos	1050	Elaboración de productos lácteos
C	Industrias manufactureras	106	Elaboración de productos de molinería, almidones y productos derivados del almidón	1061	Elaboración de productos de molinería
C	Industrias manufactureras	106	Elaboración de productos de molinería, almidones y productos derivados del almidón	1062	Elaboración de almidones y productos derivados del almidón
C	Industrias manufactureras	107	Elaboración de otros productos alimenticios	1071	Elaboración de productos de panadería
C	Industrias manufactureras	107	Elaboración de otros productos alimenticios	1072	Elaboración de azúcar
C	Industrias manufactureras	107	Elaboración de otros productos alimenticios	1073	Elaboración de cacao, chocolate y de productos de confitería
C	Industrias manufactureras	107	Elaboración de otros productos alimenticios	1074	Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares
C	Industrias manufactureras	107	Elaboración de otros productos alimenticios	1075	Elaboración de comidas y platos preparados
C	Industrias manufactureras	107	Elaboración de otros productos alimenticios	1079	Elaboración de otros productos alimenticios n.c.p.
C	Industrias manufactureras	108	Elaboración de piensos preparados para animales	1080	Elaboración de piensos preparados para animales
C	Industrias manufactureras	110	Elaboración de bebidas alcohólicas y no alcohólicas	1101	Destilación, rectificación y mezcla de bebidas alcohólicas
C	Industrias manufactureras	110	Elaboración de bebidas alcohólicas y no alcohólicas	1102	Elaboración de vinos
C	Industrias manufactureras	110	Elaboración de bebidas alcohólicas y no alcohólicas	1103	Elaboración de bebidas malteadas y de malta
C	Industrias manufactureras	110	Elaboración de bebidas alcohólicas y no alcohólicas	1104	Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas
C	Industrias manufactureras	120	Elaboración de productos de tabaco	1200	Elaboración de productos de tabaco
C	Industrias manufactureras	131	Hilatura, tejedura y acabado de productos textiles	1311	Preparación e hilatura de fibras textiles
C	Industrias manufactureras	131	Hilatura, tejedura y acabado de productos textiles	1312	Tejedura de productos textiles
C	Industrias manufactureras	131	Hilatura, tejedura y acabado de productos textiles	1313	Acabado de productos textiles
C	Industrias manufactureras	139	Fabricación de otros productos textiles	1391	Fabricación de tejidos de punto y ganchillo
C	Industrias manufactureras	139	Fabricación de otros productos textiles	1392	Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir
C	Industrias manufactureras	139	Fabricación de otros productos textiles	1393	Fabricación de tapices y alfombras
C	Industrias manufactureras	139	Fabricación de otros productos textiles	1394	Fabricación de cuerdas, cordeles, bramantes y redes
C	Industrias manufactureras	139	Fabricación de otros productos textiles	1399	Fabricación de otros productos textiles n.c.p.
C	Industrias manufactureras	141	Fabricación de prendas de vestir, excepto prendas de piel	1410	Fabricación de prendas de vestir, excepto prendas de piel
C	Industrias manufactureras	142	Fabricación de artículos de piel	1420	Fabricación de artículos de piel
C	Industrias manufactureras	143	Fabricación de artículos de punto y ganchillo	1430	Fabricación de artículos de punto y ganchillo
C	Industrias manufactureras	151	Curtido y adobo de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; adobo y teñido de pieles	1511	Curtido y adobo de cueros; adobo y teñido de pieles
